,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls,75.87,79.95,91.81,82.36,79.01,73.33,70.34,78.95285714285714
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,cnn_1d_default-cls,78.39,84.47,93.12,84.64,82.34,73.39,68.38,80.67571428571429
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls,78.95,84.58,93.16,85.3,83.26,85.53,69.26,82.86285714285714
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls,77.91,83.19,93.37,84.67,82.0,71.44,67.59,80.02428571428571
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls,79.06,83.98,93.61,85.32,83.49,84.61,67.84,82.55857142857144
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls,78.66,84.15,93.02,85.12,82.57,75.77,67.91,81.02857142857142
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,cnn_1d_default-cls,78.28,83.46,93.22,85.32,82.45,77.15,67.52,81.05714285714285
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,74.46,80.54,91.8,80.89,75.34,57.89,70.85,75.96714285714286
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,78.18,84.61,93.05,84.09,82.22,66.95,69.16,79.75142857142859
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,78.72,84.42,93.22,85.22,82.45,77.46,72.25,81.96285714285715
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,77.44,83.87,93.19,83.51,80.73,65.52,68.28,78.9342857142857
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,78.08,84.46,93.62,85.15,81.19,72.65,69.85,80.71428571428571
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,78.14,84.52,93.08,84.76,81.42,69.09,68.25,79.89428571428572
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,cnn_1d_default-cls,77.85,84.13,93.38,84.69,80.73,67.86,67.79,79.49
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,74.62,80.56,92.01,80.82,76.83,59.8,70.88,76.50285714285714
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,78.21,84.62,92.98,84.19,82.34,67.33,68.92,79.79857142857144
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,78.78,84.47,93.15,85.21,82.34,79.75,71.64,82.19142857142856
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,77.43,83.71,93.24,83.56,80.5,65.76,68.01,78.88714285714286
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,78.11,84.35,93.66,85.17,81.08,72.95,69.58,80.7
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,78.22,84.43,93.05,84.77,82.11,69.17,68.28,80.00428571428571
20,modern-bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,22,0,None,cnn_1d_default-cls,77.97,83.91,93.31,84.78,81.65,67.68,67.79,79.58428571428571
21,modern-bert-base,CLS_NLI,simple,CLS,NLI,4,768,22,0,None,cnn_1d_default-cls,74.77,81.64,92.37,77.8,74.77,53.69,70.02,75.00857142857141
22,modern-bert-base,AVG_NLI,simple,AVG,NLI,4,768,22,0,None,cnn_1d_default-cls,77.78,84.97,92.98,82.44,81.65,66.09,67.91,79.11714285714287
23,modern-bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,22,0,None,cnn_1d_default-cls,78.55,85.48,93.41,83.94,82.45,74.39,69.95,81.16714285714285
24,modern-bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,22,0,None,cnn_1d_default-cls,77.26,83.75,93.18,81.1,79.82,62.53,67.64,77.89714285714285
25,modern-bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,22,0,None,cnn_1d_default-cls,78.02,84.7,93.63,83.0,80.85,66.93,67.64,79.25285714285715
26,modern-bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,22,0,None,cnn_1d_default-cls,77.95,85.13,92.88,82.9,81.65,67.64,67.71,79.40857142857143
27,modern-bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,22,0,None,cnn_1d_default-cls,77.52,84.64,93.14,81.84,81.88,66.07,67.25,78.90571428571427
28,modern-bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,22,0,None,cnn_1d_default-cls,74.45,80.67,91.85,80.53,76.03,56.93,70.83,75.89857142857143
29,modern-bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,22,0,None,cnn_1d_default-cls,78.26,84.69,92.99,83.94,82.0,66.8,69.31,79.71285714285715
30,modern-bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,22,0,None,cnn_1d_default-cls,78.78,84.51,93.19,85.21,82.34,77.82,71.66,81.92999999999999
31,modern-bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,22,0,None,cnn_1d_default-cls,77.51,83.81,93.3,83.48,80.39,65.24,68.52,78.89285714285714
32,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,22,0,None,cnn_1d_default-cls,78.08,84.58,93.69,85.05,81.19,71.33,70.0,80.56000000000002
33,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,22,0,None,cnn_1d_default-cls,78.25,84.54,93.08,84.73,82.57,69.44,67.69,80.04285714285713
34,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,22,0,None,cnn_1d_default-cls,77.93,84.0,93.38,84.66,81.08,67.08,68.03,79.45142857142856
35,modern-bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,22,0,None,cnn_1d_default-cls,74.6,80.68,92.02,80.89,75.57,58.79,70.68,76.17571428571429
36,modern-bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,22,0,None,cnn_1d_default-cls,78.14,84.64,93.01,84.09,82.22,67.02,69.04,79.73714285714286
37,modern-bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,22,0,None,cnn_1d_default-cls,78.74,84.6,93.22,85.21,82.34,78.91,70.85,81.98142857142855
38,modern-bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,22,0,None,cnn_1d_default-cls,77.49,83.7,93.33,83.53,80.96,65.17,68.38,78.93714285714285
