,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls,75.52,79.79,91.74,82.32,78.86,83.8,69.16,80.17
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.44,83.87,93.14,84.67,80.51,85.0,67.71,81.9057142857143
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls,79.05,84.42,92.76,85.28,82.04,91.2,68.58,83.33285714285715
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,77.59,83.02,93.18,84.68,81.99,79.2,66.38,80.86285714285714
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.57,83.71,93.52,85.45,84.24,90.0,65.97,83.0657142857143
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.32,84.19,92.74,85.25,81.11,86.2,65.74,81.93571428571428
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_sum-cls,77.98,83.79,92.92,85.26,81.27,85.2,65.68,81.72857142857141
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,74.4,80.16,91.24,80.55,76.55,60.4,69.68,76.14
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.03,84.21,92.99,84.16,81.49,77.8,68.52,81.02857142857144
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.56,84.08,93.27,85.35,82.32,86.4,69.1,82.72571428571429
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,77.48,83.31,93.03,83.78,80.23,73.8,67.13,79.82285714285715
