,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls,75.85,79.76,92.06,82.28,78.47,80.8,69.45,79.81000000000002
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,cnn_1d_default-cls,78.2,83.92,92.88,84.7,81.88,86.8,67.71,82.29857142857144
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls,78.94,84.4,92.94,85.54,82.87,91.8,68.64,83.59
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls,77.63,82.44,93.39,84.72,81.27,84.0,66.43,81.41142857142856
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls,78.99,83.47,93.61,85.01,83.47,90.0,65.45,82.85714285714286
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls,78.62,84.16,92.7,85.02,81.99,86.0,65.8,82.04142857142857
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,cnn_1d_default-cls,78.31,82.76,93.17,85.23,81.82,86.8,65.8,81.98428571428572
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,74.26,80.66,91.5,80.56,75.78,60.6,69.62,76.14
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,77.75,84.64,92.84,83.9,81.05,77.6,67.48,80.75142857142858
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,78.76,84.08,93.31,85.19,82.92,88.4,71.48,83.44857142857143
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,77.14,83.58,92.94,83.44,81.11,74.0,65.51,79.67428571428572
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,77.87,84.16,93.7,85.1,81.0,84.8,68.46,82.1557142857143
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,78.03,84.32,93.06,84.76,81.0,80.2,68.06,81.34714285714287
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,cnn_1d_default-cls,77.89,84.56,93.19,84.54,79.57,77.0,66.38,80.44714285714285
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,74.62,79.97,91.63,80.58,76.72,67.2,69.68,77.2
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,78.09,84.42,92.83,83.79,81.11,75.6,67.13,80.42428571428572
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls,78.8,83.92,93.2,85.32,82.76,89.2,69.28,83.21142857142857
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,77.31,83.21,92.74,83.5,81.22,76.0,66.26,80.03428571428572
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,77.79,84.69,93.65,85.28,81.16,85.4,69.1,82.43857142857142
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls,78.02,84.5,93.04,84.74,80.83,81.0,67.71,81.4057142857143
20,modern-bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,22,0,None,cnn_1d_default-cls,77.78,83.79,93.06,84.77,81.27,78.2,66.55,80.77428571428571
21,modern-bert-base,CLS_NLI,simple,CLS,NLI,4,768,22,0,None,cnn_1d_default-cls,74.86,81.54,92.56,76.9,75.23,61.6,68.58,75.8957142857143
22,modern-bert-base,AVG_NLI,simple,AVG,NLI,4,768,22,0,None,cnn_1d_default-cls,77.64,84.32,92.78,82.46,81.49,75.2,67.42,80.18714285714285
23,modern-bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,22,0,None,cnn_1d_default-cls,78.2,85.54,93.29,84.15,82.1,84.6,70.67,82.65
24,modern-bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,22,0,None,cnn_1d_default-cls,77.28,83.97,92.94,80.94,79.74,66.6,65.62,78.1557142857143
