,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls,73.46,78.52,91.37,79.82,76.28,58.6,68.64,75.24142857142856
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.28,84.74,92.9,84.02,80.78,73.2,66.38,80.04285714285713
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.69,84.0,92.84,85.01,82.48,85.0,67.94,82.28
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.14,82.28,93.4,82.73,80.12,69.0,65.68,78.62142857142858
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.66,82.99,93.47,84.73,81.44,77.6,66.14,80.57571428571428
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,78.41,83.71,92.65,84.4,81.16,75.2,66.14,80.23857142857143
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_mean-cls,77.7,82.6,93.22,84.24,80.62,71.4,66.09,79.41
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,73.63,78.12,91.45,80.25,73.92,57.4,69.39,74.88
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.0,84.53,92.83,83.94,81.05,75.0,66.72,80.2957142857143
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.67,84.03,93.03,85.02,82.81,85.2,68.17,82.41857142857143
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,76.82,83.21,93.19,82.74,79.46,69.2,66.38,78.71428571428571
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.64,82.78,93.32,84.59,81.99,70.4,67.07,79.6842857142857
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,78.28,83.76,92.57,84.72,81.11,75.8,65.8,80.29142857142858
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_mean-cls,77.42,82.49,93.39,83.64,80.45,68.8,66.43,78.94571428571429
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,73.22,78.81,91.32,79.69,73.59,57.4,68.87,74.7
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,77.78,84.4,92.97,83.87,81.0,71.0,67.3,79.75999999999999
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.63,84.58,92.98,85.19,83.09,85.6,67.94,82.57285714285715
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.16,82.31,93.36,82.68,80.18,66.2,66.14,78.28999999999999
