,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.55,78.38,91.41,80.09,73.7,58.2,68.12,74.77857142857144
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.14,84.45,93.02,83.9,81.99,76.8,67.01,80.75857142857144
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.77,84.16,93.06,84.84,83.09,84.0,67.65,82.22428571428573
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,76.97,81.78,93.22,81.93,79.35,65.8,66.55,77.94285714285715
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.21,82.46,93.61,84.52,80.83,71.0,66.96,79.51285714285713
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.1,84.05,92.79,84.58,82.15,75.4,65.97,80.4342857142857
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_mean-avg,77.42,82.44,93.18,83.58,80.72,70.2,66.09,79.09
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.19,78.68,91.52,79.99,74.24,61.0,69.04,75.38
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.2,84.4,92.9,83.85,80.72,78.0,66.72,80.68428571428572
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.56,84.24,92.92,85.0,81.88,84.6,67.71,82.13000000000001
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.24,81.88,92.99,82.36,79.24,70.4,65.68,78.54142857142857
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.48,83.1,93.45,84.46,81.77,74.0,65.91,80.02428571428571
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.45,83.36,92.93,84.61,80.83,74.8,65.97,80.13571428571429
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_mean-avg,77.33,83.29,93.09,83.73,79.35,73.0,65.74,79.36142857142856
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,72.92,79.21,91.61,79.97,73.75,57.0,68.58,74.72000000000001
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.19,84.29,92.82,84.19,80.34,71.6,66.61,79.72000000000001
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.37,84.05,93.0,84.92,83.31,82.6,68.06,82.0442857142857
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,76.92,81.88,93.19,82.56,80.67,72.2,66.03,79.06428571428572
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.95,82.91,93.36,84.67,80.83,73.4,66.14,79.89428571428572
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.15,84.26,93.02,84.88,80.83,75.4,66.03,80.36714285714285
20,modern-bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_mean-avg,77.17,83.18,93.26,83.81,80.34,67.2,65.68,78.66285714285713
21,modern-bert-base,CLS_NLI,simple,CLS,NLI,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.91,79.07,91.76,79.86,73.7,54.8,68.41,74.50142857142858
22,modern-bert-base,AVG_NLI,simple,AVG,NLI,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.09,84.61,92.81,84.88,81.16,76.2,68.99,80.96285714285713
23,modern-bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.63,84.21,93.04,85.67,83.31,86.8,68.52,82.88285714285715
24,modern-bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.19,83.07,93.24,83.75,81.22,72.4,65.57,79.49142857142859
25,modern-bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.73,83.31,93.53,85.24,81.16,76.6,68.0,80.7957142857143
26,modern-bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.25,83.82,92.83,85.33,81.27,81.0,67.25,81.39285714285714
27,modern-bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,22,0,None,dynamic_layer_weighted_mean-avg,77.7,83.42,93.02,84.63,80.72,76.2,65.91,80.22857142857143
28,modern-bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.34,78.84,91.49,80.05,75.29,49.0,69.04,73.86428571428573
29,modern-bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.17,84.58,93.08,84.01,80.67,74.4,67.65,80.36571428571428
30,modern-bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.5,83.71,92.93,85.37,81.93,83.6,68.0,82.00571428571428
31,modern-bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,76.89,82.44,93.36,82.62,78.14,70.6,65.33,78.48285714285714
32,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.54,82.94,93.44,84.71,80.62,71.4,66.61,79.60857142857142
33,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.08,83.84,92.7,84.63,80.18,71.6,66.03,79.58
34,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,22,0,None,dynamic_layer_weighted_mean-avg,77.46,82.76,93.13,84.07,80.45,75.2,66.03,79.87142857142855
35,modern-bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.44,78.76,91.63,79.46,74.03,54.8,68.46,74.36857142857141
36,modern-bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.01,84.53,92.96,84.08,80.78,69.6,67.48,79.63428571428572
