model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(83.65), 'acc': np.float64(83.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.58), 'acc': np.float64(87.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.74), 'acc': np.float64(94.82), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.07), 'acc': np.float64(86.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.85), 'acc': 79.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.21), 'acc': 72.06, 'f1': 81.22, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.26), 'acc': np.float64(85.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.1), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.62), 'acc': np.float64(95.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.7), 'acc': np.float64(88.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.88), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.38), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.85), 'acc': 74.09, 'f1': 81.9, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.02), 'acc': np.float64(85.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.89), 'acc': np.float64(90.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.56), 'acc': np.float64(95.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.05), 'acc': np.float64(88.2), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.8), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.92), 'acc': 74.72, 'f1': 82.22, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.33), 'acc': np.float64(85.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.05), 'acc': np.float64(90.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.64), 'acc': np.float64(95.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.55), 'acc': np.float64(88.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.42), 'acc': 90.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.08), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.93), 'acc': 74.14, 'f1': 81.83, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.15), 'acc': np.float64(84.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.89), 'acc': np.float64(90.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.5), 'acc': np.float64(95.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.17), 'acc': np.float64(88.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.33), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.8), 'acc': 74.61, 'f1': 82.25, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.07), 'acc': np.float64(85.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.83), 'acc': np.float64(90.3), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.51), 'acc': np.float64(95.5), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.24), 'acc': np.float64(88.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 90.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.89), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.44), 'acc': 75.07, 'f1': 82.62, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.22), 'acc': np.float64(85.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.84), 'acc': np.float64(90.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.52), 'acc': np.float64(95.53), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.34), 'acc': np.float64(88.47), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.07), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.88), 'acc': 73.28, 'f1': 81.4, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(83.26), 'acc': np.float64(83.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.62), 'acc': np.float64(87.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.42), 'acc': np.float64(94.42), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.18), 'acc': np.float64(86.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.04), 'acc': 87.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(74.1), 'acc': 81.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.42), 'acc': 74.2, 'f1': 82.24, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(85.06), 'acc': np.float64(85.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.18), 'acc': np.float64(90.49), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.65), 'acc': np.float64(95.66), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.58), 'acc': np.float64(88.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.27), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.97), 'acc': 73.28, 'f1': 81.36, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,12,"{'devacc': np.float64(84.86), 'acc': np.float64(84.88), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.9), 'acc': np.float64(90.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.57), 'acc': np.float64(95.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.98), 'acc': np.float64(88.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.99), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.65), 'acc': 73.62, 'f1': 81.34, 'ndev': 4076, 'ntest': 1725}"
