,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls_avg,74.08,78.65,91.78,82.4,78.47,78.8,69.39,79.08142857142857
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,cnn_1d_default-cls_avg,78.64,84.61,93.16,86.6,83.42,85.0,68.0,82.7757142857143
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls_avg,78.29,84.1,93.38,85.92,84.13,91.4,68.23,83.63571428571429
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls_avg,77.86,82.65,93.39,86.36,83.2,82.6,65.68,81.67714285714285
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls_avg,78.08,83.31,93.69,86.28,84.46,88.8,65.8,82.91714285714285
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls_avg,78.57,83.9,92.91,86.4,84.07,86.8,67.01,82.80857142857143
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,cnn_1d_default-cls_avg,78.29,83.44,93.49,86.23,83.47,86.4,65.16,82.35428571428572
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,73.5,79.23,91.8,80.4,75.29,62.6,69.28,76.01428571428573
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,78.42,84.29,93.34,84.86,82.43,80.2,68.87,81.77285714285715
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,78.32,84.19,93.41,85.69,82.48,86.0,72.46,83.22142857142858
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls_avg,77.58,83.44,93.48,83.92,80.12,73.6,66.49,79.80428571428571
