,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,cnn_1d_default-avg,73.57,79.0,91.9,82.25,78.33,56.48,70.29,75.97428571428573
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,cnn_1d_default-avg,78.52,84.5,93.41,86.67,83.03,70.89,68.5,80.78857142857143
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,cnn_1d_default-avg,78.65,84.2,93.32,85.78,84.17,77.49,69.75,81.90857142857145
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,cnn_1d_default-avg,77.93,83.06,93.79,86.72,83.14,65.85,67.81,79.75714285714285
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-avg,78.08,83.27,93.75,86.12,83.6,71.61,68.6,80.71857142857144
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-avg,78.47,83.96,93.29,85.95,83.83,70.91,67.76,80.59571428571428
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,cnn_1d_default-avg,78.06,83.29,93.63,86.36,83.72,68.43,67.81,80.1857142857143
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,73.32,78.95,92.36,80.24,73.51,56.16,70.09,74.94714285714285
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,78.27,84.26,93.32,84.68,81.65,71.07,68.33,80.22571428571428
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,78.5,83.9,93.26,85.35,82.45,78.41,70.44,81.75857142857141
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,77.62,83.36,93.66,83.94,79.7,65.94,67.93,78.87857142857145
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,77.92,83.27,93.67,85.34,81.42,72.6,69.68,80.55714285714286
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,78.25,83.92,93.26,85.06,82.22,71.33,67.96,80.28571428571429
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,cnn_1d_default-avg,77.84,83.54,93.6,84.86,81.42,68.38,67.54,79.59714285714286
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,73.33,78.94,92.39,80.35,73.97,55.72,70.19,74.98428571428573
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,78.29,84.36,93.35,85.06,81.77,71.42,68.84,80.44142857142857
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,78.49,84.01,93.3,85.56,82.57,78.21,70.44,81.79714285714284
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,77.64,83.23,93.74,84.14,79.93,66.07,68.06,78.97285714285714
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,77.96,83.33,93.72,85.46,81.31,71.81,69.36,80.42142857142856
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,78.26,84.02,93.28,85.28,82.0,70.93,68.11,80.26857142857143
20,modern-bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,22,0,None,cnn_1d_default-avg,77.99,83.49,93.52,85.21,80.73,68.19,67.62,79.53571428571429
21,modern-bert-base,CLS_NLI,simple,CLS,NLI,4,768,22,0,None,cnn_1d_default-avg,76.12,82.63,91.72,83.18,79.82,82.56,69.97,80.85714285714286
22,modern-bert-base,AVG_NLI,simple,AVG,NLI,4,768,22,0,None,cnn_1d_default-avg,78.73,85.38,93.28,84.72,83.83,86.54,74.53,83.85857142857142
23,modern-bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,22,0,None,cnn_1d_default-avg,78.64,85.04,93.07,84.49,83.94,87.18,74.75,83.87285714285714
24,modern-bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,22,0,None,cnn_1d_default-avg,79.12,85.38,93.64,84.9,83.72,87.07,72.47,83.75714285714285
25,modern-bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,22,0,None,cnn_1d_default-avg,79.03,85.03,93.46,84.8,84.4,87.91,72.94,83.93857142857142
26,modern-bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,22,0,None,cnn_1d_default-avg,78.54,84.84,93.01,84.77,84.17,86.85,73.95,83.73285714285714
27,modern-bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,22,0,None,cnn_1d_default-avg,78.92,85.09,93.41,84.87,84.63,87.4,73.09,83.91571428571429
28,modern-bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,22,0,None,cnn_1d_default-avg,73.53,79.32,92.35,80.23,73.51,56.47,70.56,75.13857142857144
29,modern-bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,22,0,None,cnn_1d_default-avg,78.41,84.52,93.38,84.65,81.88,72.47,69.04,80.62142857142858
30,modern-bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,22,0,None,cnn_1d_default-avg,78.56,84.15,93.31,85.43,83.26,77.71,70.93,81.90714285714284
31,modern-bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,22,0,None,cnn_1d_default-avg,77.75,83.68,93.73,83.83,80.05,66.53,67.79,79.05142857142857
32,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,22,0,None,cnn_1d_default-avg,78.03,83.66,93.65,85.22,80.96,72.98,69.82,80.61714285714285
33,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,22,0,None,cnn_1d_default-avg,78.34,84.42,93.27,85.07,82.11,71.85,67.98,80.4342857142857
34,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,22,0,None,cnn_1d_default-avg,78.06,84.0,93.64,84.9,80.73,69.15,67.59,79.72428571428573
35,modern-bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,22,0,None,cnn_1d_default-avg,73.52,79.1,92.34,80.51,74.08,56.04,70.46,75.15
36,modern-bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,22,0,None,cnn_1d_default-avg,78.42,84.6,93.4,84.9,82.0,72.71,68.77,80.68571428571428
37,modern-bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,22,0,None,cnn_1d_default-avg,78.54,84.14,93.28,85.55,82.91,78.21,70.66,81.89857142857143
38,modern-bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,22,0,None,cnn_1d_default-avg,77.7,83.58,93.8,84.17,79.82,66.31,67.62,79.0
39,modern-bert-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,22,0,None,cnn_1d_default-avg,78.07,83.56,93.76,85.44,81.19,72.25,69.48,80.53571428571429
