model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(73.57), 'acc': np.float64(73.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.0), 'acc': np.float64(78.84), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.9), 'acc': np.float64(92.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.25), 'acc': np.float64(82.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(78.33), 'acc': 76.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(56.48), 'acc': 62.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.29), 'acc': 68.87, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(78.52), 'acc': np.float64(78.53), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.5), 'acc': np.float64(84.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.41), 'acc': np.float64(93.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.67), 'acc': np.float64(86.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.03), 'acc': 82.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(70.89), 'acc': 81.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.5), 'acc': 68.58, 'f1': 79.64, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(78.65), 'acc': np.float64(78.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.2), 'acc': np.float64(84.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.32), 'acc': np.float64(93.14), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.78), 'acc': np.float64(85.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.17), 'acc': 84.02, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.49), 'acc': 87.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.75), 'acc': 69.39, 'f1': 80.0, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(77.93), 'acc': np.float64(77.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.06), 'acc': np.float64(82.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.79), 'acc': np.float64(93.6), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.72), 'acc': np.float64(86.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.14), 'acc': 82.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(65.85), 'acc': 75.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.81), 'acc': 67.3, 'f1': 78.97, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(78.08), 'acc': np.float64(77.81), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.27), 'acc': np.float64(83.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.75), 'acc': np.float64(93.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.12), 'acc': np.float64(86.3), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 83.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.61), 'acc': 83.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.6), 'acc': 66.49, 'f1': 79.33, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(78.47), 'acc': np.float64(78.44), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.96), 'acc': np.float64(83.52), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.29), 'acc': np.float64(93.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.95), 'acc': np.float64(86.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.83), 'acc': 84.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(70.91), 'acc': 79.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.76), 'acc': 66.38, 'f1': 78.55, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(78.06), 'acc': np.float64(78.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.29), 'acc': np.float64(83.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.63), 'acc': np.float64(93.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.36), 'acc': np.float64(86.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 83.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(68.43), 'acc': 79.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.81), 'acc': 65.97, 'f1': 78.92, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(73.32), 'acc': np.float64(73.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.95), 'acc': np.float64(79.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.36), 'acc': np.float64(92.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.24), 'acc': np.float64(80.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.51), 'acc': 73.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(56.16), 'acc': 63.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.09), 'acc': 69.1, 'f1': 79.68, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(78.27), 'acc': np.float64(78.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.26), 'acc': np.float64(84.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.32), 'acc': np.float64(93.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.68), 'acc': np.float64(84.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 80.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.07), 'acc': 78.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.33), 'acc': 67.19, 'f1': 79.63, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,22,"{'devacc': np.float64(78.5), 'acc': np.float64(78.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.9), 'acc': np.float64(83.92), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.26), 'acc': np.float64(93.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.35), 'acc': np.float64(85.42), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(78.41), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.44), 'acc': 69.57, 'f1': 80.08, 'ndev': 4076, 'ntest': 1725}"
