,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls_avg,74.25,79.25,91.84,82.8,78.9,69.63,70.02,78.09857142857142
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,cnn_1d_default-cls_avg,78.6,84.44,93.34,86.52,83.6,77.72,68.35,81.7957142857143
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,cnn_1d_default-cls_avg,78.57,84.26,93.21,85.85,83.6,84.1,69.36,82.70714285714287
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls_avg,78.16,83.19,93.53,86.57,83.03,73.72,67.74,80.84857142857143
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls_avg,78.38,83.65,93.73,86.12,83.49,81.13,67.79,82.04142857142857
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-cls_avg,78.55,84.09,93.16,86.16,83.72,79.24,68.18,81.87142857142855
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,cnn_1d_default-cls_avg,78.38,83.48,93.5,86.03,83.14,77.99,67.39,81.41571428571429
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,73.86,79.35,92.15,80.62,75.46,57.1,70.46,75.57142857142857
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,78.36,84.44,93.29,84.92,82.0,69.61,69.41,80.29
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,78.55,84.0,93.45,85.57,82.22,78.03,72.38,82.02857142857142
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls_avg,77.78,83.56,93.72,84.15,80.16,66.32,68.35,79.14857142857143
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls_avg,78.19,83.66,93.65,85.45,80.73,72.45,70.36,80.64142857142858
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls_avg,78.46,84.19,93.29,85.22,81.88,70.67,68.45,80.30857142857143
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,cnn_1d_default-cls_avg,78.05,83.73,93.68,85.19,80.73,68.3,67.49,79.59571428571428
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,73.89,79.36,92.32,80.72,76.61,59.19,70.17,76.03714285714285
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,78.41,84.5,93.34,85.08,82.22,71.61,69.6,80.67999999999999
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,cnn_1d_default-cls_avg,78.57,84.04,93.33,85.63,82.57,79.62,72.42,82.31142857142856
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls_avg,77.82,83.53,93.74,84.42,80.16,67.92,68.45,79.4342857142857
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,cnn_1d_default-cls_avg,78.18,83.6,93.66,85.54,81.31,72.62,70.54,80.77857142857144
