model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(75.87), 'acc': np.float64(75.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.95), 'acc': np.float64(79.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.81), 'acc': np.float64(92.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.36), 'acc': np.float64(82.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.01), 'acc': 78.47, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.33), 'acc': 80.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.34), 'acc': 69.45, 'f1': 80.0, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(78.39), 'acc': np.float64(78.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.47), 'acc': np.float64(83.92), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.12), 'acc': np.float64(92.88), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.64), 'acc': np.float64(84.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.34), 'acc': 81.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.39), 'acc': 86.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.38), 'acc': 67.71, 'f1': 79.47, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(78.95), 'acc': np.float64(78.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.58), 'acc': np.float64(84.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.16), 'acc': np.float64(92.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.3), 'acc': np.float64(85.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.26), 'acc': 82.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.53), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.26), 'acc': 68.64, 'f1': 79.7, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(77.91), 'acc': np.float64(77.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.19), 'acc': np.float64(82.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.37), 'acc': np.float64(93.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.67), 'acc': np.float64(84.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 81.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.44), 'acc': 84.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.59), 'acc': 66.43, 'f1': 78.83, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(79.06), 'acc': np.float64(78.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.98), 'acc': np.float64(83.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.61), 'acc': np.float64(93.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.32), 'acc': np.float64(85.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.49), 'acc': 83.47, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.61), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.84), 'acc': 65.45, 'f1': 78.59, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(78.66), 'acc': np.float64(78.62), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.15), 'acc': np.float64(84.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.02), 'acc': np.float64(92.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.12), 'acc': np.float64(85.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 81.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(75.77), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.91), 'acc': 65.8, 'f1': 78.72, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(78.28), 'acc': np.float64(78.31), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.46), 'acc': np.float64(82.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.22), 'acc': np.float64(93.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.32), 'acc': np.float64(85.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 81.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.15), 'acc': 86.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.52), 'acc': 65.8, 'f1': 79.12, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(74.46), 'acc': np.float64(74.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.54), 'acc': np.float64(80.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.8), 'acc': np.float64(91.5), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.89), 'acc': np.float64(80.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.34), 'acc': 75.78, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(57.89), 'acc': 60.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.85), 'acc': 69.62, 'f1': 80.2, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(78.18), 'acc': np.float64(77.75), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.61), 'acc': np.float64(84.64), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.05), 'acc': np.float64(92.84), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.09), 'acc': np.float64(83.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 81.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.95), 'acc': 77.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.16), 'acc': 67.48, 'f1': 79.06, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,22,"{'devacc': np.float64(78.72), 'acc': np.float64(78.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.42), 'acc': np.float64(84.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.22), 'acc': np.float64(93.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.22), 'acc': np.float64(85.19), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.46), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.25), 'acc': 71.48, 'f1': 80.43, 'ndev': 4076, 'ntest': 1725}"
