model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(74.25), 'acc': np.float64(74.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.25), 'acc': np.float64(78.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.84), 'acc': np.float64(91.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.8), 'acc': np.float64(82.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(78.9), 'acc': 78.47, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(69.63), 'acc': 78.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.02), 'acc': 69.39, 'f1': 79.95, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.6), 'acc': np.float64(78.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.44), 'acc': np.float64(84.61), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.34), 'acc': np.float64(93.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.52), 'acc': np.float64(86.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 83.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.72), 'acc': 85.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.35), 'acc': 68.0, 'f1': 79.34, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.57), 'acc': np.float64(78.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.26), 'acc': np.float64(84.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.21), 'acc': np.float64(93.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.85), 'acc': np.float64(85.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 84.13, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.1), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.36), 'acc': 68.23, 'f1': 79.69, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.16), 'acc': np.float64(77.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.19), 'acc': np.float64(82.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.53), 'acc': np.float64(93.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.57), 'acc': np.float64(86.36), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.03), 'acc': 83.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.72), 'acc': 82.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.74), 'acc': 65.68, 'f1': 78.83, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.38), 'acc': np.float64(78.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.65), 'acc': np.float64(83.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.73), 'acc': np.float64(93.69), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.12), 'acc': np.float64(86.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.49), 'acc': 84.46, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.13), 'acc': 88.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.79), 'acc': 65.8, 'f1': 78.97, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.55), 'acc': np.float64(78.57), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.09), 'acc': np.float64(83.9), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.16), 'acc': np.float64(92.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.16), 'acc': np.float64(86.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 84.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(79.24), 'acc': 86.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.18), 'acc': 67.01, 'f1': 79.67, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.38), 'acc': np.float64(78.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.48), 'acc': np.float64(83.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.5), 'acc': np.float64(93.49), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.03), 'acc': np.float64(86.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.14), 'acc': 83.47, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.99), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.39), 'acc': 65.16, 'f1': 78.15, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(73.86), 'acc': np.float64(73.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.35), 'acc': np.float64(79.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.15), 'acc': np.float64(91.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.62), 'acc': np.float64(80.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.46), 'acc': 75.29, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(57.1), 'acc': 62.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.46), 'acc': 69.28, 'f1': 79.54, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.36), 'acc': np.float64(78.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.44), 'acc': np.float64(84.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.29), 'acc': np.float64(93.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.92), 'acc': np.float64(84.86), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(69.61), 'acc': 80.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.41), 'acc': 68.87, 'f1': 79.42, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls_avg,4,0,22,"{'devacc': np.float64(78.55), 'acc': np.float64(78.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.0), 'acc': np.float64(84.19), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.45), 'acc': np.float64(93.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.57), 'acc': np.float64(85.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(78.03), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.38), 'acc': 72.46, 'f1': 80.85, 'ndev': 4076, 'ntest': 1725}"
