,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-avg,73.22,78.7,91.89,82.26,77.32,63.2,69.45,76.57714285714285
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.48,83.98,93.34,86.72,83.64,83.0,68.17,82.47571428571428
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.54,83.37,93.27,86.1,84.02,87.8,70.26,83.33714285714284
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.7,82.6,93.61,86.9,84.07,74.0,66.38,80.75142857142858
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.96,83.05,93.72,86.16,82.98,80.4,66.61,81.55428571428571
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,78.33,83.74,93.06,86.49,84.62,83.2,67.59,82.43285714285715
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_sum-avg,77.6,83.39,93.5,86.58,82.87,81.2,65.91,81.57857142857142
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,73.02,78.52,92.51,80.25,73.31,65.4,69.04,76.00714285714285
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.16,83.74,93.25,85.04,81.71,82.6,70.03,82.07571428571428
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.29,83.87,93.07,85.66,82.76,88.2,69.68,83.07571428571428
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.52,82.84,93.62,84.24,79.96,73.4,65.91,79.64142857142858
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.8,82.99,93.57,85.69,81.99,82.6,68.58,81.88857142857144
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.94,83.58,93.06,85.15,82.54,80.6,68.35,81.60285714285715
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_sum-avg,77.67,82.92,93.52,85.03,81.11,81.2,65.28,80.96142857142857
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,73.22,78.97,92.32,80.39,76.0,61.8,68.75,75.92142857142858
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.18,83.73,93.12,85.15,81.11,84.0,69.39,82.09714285714287
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.54,83.63,93.22,85.81,82.65,87.6,70.09,83.07714285714287
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.73,83.47,93.62,84.35,79.46,73.6,65.16,79.62714285714284
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.69,83.13,93.84,85.82,81.11,82.0,68.75,81.76285714285714
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,78.17,84.21,93.12,85.68,82.32,84.0,65.22,81.81714285714285
20,modern-bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_sum-avg,77.78,83.12,93.36,85.34,80.45,80.6,65.97,80.94571428571429
21,modern-bert-base,CLS_NLI,simple,CLS,NLI,4,768,22,0,None,dynamic_layer_weighted_sum-avg,75.64,82.99,91.59,83.19,79.63,87.8,69.04,81.41142857142857
22,modern-bert-base,AVG_NLI,simple,AVG,NLI,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.76,85.48,93.33,84.93,82.21,92.8,73.62,84.44714285714285
23,modern-bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.76,84.98,93.24,84.86,82.54,92.6,73.57,84.36428571428571
24,modern-bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,79.46,85.75,93.68,85.03,83.2,93.2,71.71,84.57571428571428
25,modern-bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,79.17,84.87,93.54,84.95,83.36,94.2,72.64,84.67571428571429
