,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,cnn_1d_default-avg,73.14,78.84,92.0,82.25,76.99,62.6,68.87,76.38428571428572
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,cnn_1d_default-avg,78.53,84.24,93.26,86.55,82.98,81.0,68.58,82.16285714285713
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,cnn_1d_default-avg,78.5,84.03,93.14,85.88,84.02,87.8,69.39,83.25142857142858
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,cnn_1d_default-avg,77.85,82.86,93.6,86.85,82.81,75.0,67.3,80.89571428571428
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-avg,77.81,83.1,93.55,86.3,83.96,83.6,66.49,82.11571428571428
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,cnn_1d_default-avg,78.44,83.52,93.17,86.24,84.62,79.2,66.38,81.65285714285713
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,cnn_1d_default-avg,78.1,83.18,93.45,86.49,83.03,79.0,65.97,81.31714285714285
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,73.06,79.1,92.3,80.5,73.53,63.2,69.1,75.82714285714285
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,78.07,84.24,93.25,84.82,80.62,78.2,67.19,80.91285714285713
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,cnn_1d_default-avg,78.4,83.92,93.28,85.42,82.48,88.2,69.57,83.03857142857143
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,77.5,83.13,93.45,83.91,79.79,73.6,65.16,79.50571428571428
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,77.72,82.65,93.72,85.43,80.78,83.6,68.7,81.8
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,cnn_1d_default-avg,78.25,83.68,93.11,85.08,82.59,80.4,65.39,81.21428571428571
